Cell D52: Value=9. The Spy, Bold=False, FillType=None, Color=00000000
Cell A53: Value=10. Die Rooi Maskers, Bold=False, FillType=None, Color=00000000
Cell B53: Value=10. The Red Masks, Bold=False, FillType=None, Color=00000000
Cell C53: Value=10. Aasvoëls van die See, Bold=False, FillType=None, Color=00000000
Cell D53: Value=10. Sea Vultures, Bold=False, FillType=None, Color=00000000
Cell A54: Value=11. Kloue van die Valk, Bold=False, FillType=None, Color=00000000
Cell B54: Value=11. Claws of the Falcon, Bold=False, FillType=None, Color=00000000
Cell C54: Value=11. Die Swart Seemeeu, Bold=False, FillType=None, Color=00000000
Cell D54: Value=11. The Black Seagull, Bold=False, FillType=None, Color=00000000
Cell A55: Value=12. Skedels in die Sand, Bold=False, FillType=None, Color=00000000
Cell B55: Value=12. Skulls in the Sand, Bold=False, FillType=None, Color=00000000
Cell C55: Value=12. Die Vloot van Verwoesting, Bold=False, FillType=None, Color=00000000
Cell D55: Value=12. Ravishing Armada, Bold=False, FillType=None, Color=00000000
Cell A56: Value=13. Die Dood kom Stil, Bold=False, FillType=None, Color=00000000
Cell B56: Value=13. Death comes Quietly, Bold=False, FillType=None, Color=00000000
Cell C56: Value=13. Die Arm uit die See, Bold=False, FillType=None, Color=00000000
Cell D56: Value=13. Arm from the Deep, Bold=False, FillType=None, Color=00000000
Cell A57: Value=14. Man sonder Kop, Bold=False, FillType=None, Color=00000000
Cell B57: Value=14. Man without a Head, Bold=False, FillType=None, Color=00000000
Cell C57: Value=14. Die Seerower se Buit, Bold=False, FillType=None, Color=00000000
Cell D57: Value=14. The Pirate’s Treasure, Bold=False, FillType=None, Color=00000000
Cell A58: Value=15. Die Songod Praat, Bold=False, FillType=None, Color=00000000
Cell B58: Value=15. The Sungod Speaks, Bold=False, FillType=None, Color=00000000
Cell C58: Value=15. Die Blou Robyn, Bold=False, FillType=None, Color=00000000
Cell D58: Value=15. The Blue Ruby, Bold=False, FillType=None, Color=00000000
Cell A59: Value=16. Pad van die Arend, Bold=False, FillType=None, Color=00000000
Cell B59: Value=16. Path of the Eagle, Bold=False, FillType=None, Color=00000000
Cell C59: Value=16. Die Spookskip van Biskaje, Bold=False, FillType=None, Color=00000000
Cell D59: Value=16. Ghost Ship of Biscay, Bold=False, FillType=None, Color=00000000
Cell A60: Value=17. Die Duiwel is ’n Vrou, Bold=False, FillType=None, Color=00000000
Cell B60: Value=17. The Devil is a Woman, Bold=False, FillType=None, Color=00000000
Cell C60: Value=17. Die Kus van Barbarye, Bold=False, FillType=None, Color=00000000
Cell D60: Value=17. The Coast of Barbary, Bold=False, FillType=None, Color=00000000
Cell A61: Value=18. Geheim van die Wit Heks, Bold=False, FillType=None, Color=00000000
Cell B61: Value=18. Secret of the White Witch, Bold=False, FillType=None, Color=00000000
Cell C61: Value=18. Haaie van die Ooste, Bold=False, FillType=None, Color=00000000
Cell D61: Value=18. Predators from the East, Bold=False, FillType=None, Color=00000000
Cell A62: Value=19. Gees uit die Vuur, Bold=False, FillType=None, Color=00000000
Cell B62: Value=19. Spirit from the Fire, Bold=False, FillType=None, Color=00000000
Cell C62: Value=19. Die Skedel, Bold=False, FillType=None, Color=00000000
Cell D62: Value=19. The Skull, Bold=False, FillType=None, Color=00000000
Cell A63: Value=20. Waar die Dooies Leef, Bold=False, FillType=None, Color=00000000
Cell B63: Value=20. Where the Dead Live, Bold=False, FillType=None, Color=00000000
Cell C63: Value=20. Die Verslete Mantel, Bold=False, FillType=None, Color=00000000
Cell D63: Value=20. The Secret Mantle, Bold=False, FillType=None, Color=00000000
Cell A64: Value=21. Dans van die Dood, Bold=False, FillType=None, Color=00000000
Cell B64: Value=21. Dance of Death, Bold=False, FillType=None, Color=00000000
Cell C64: Value=21. Skuilplek van die Rowers, Bold=False, FillType=None, Color=00000000
Cell D64: Value=21. Stronghold of the Pirates, Bold=False, FillType=None, Color=00000000
Cell A65: Value=22. Bloedfees van die Ape, Bold=False, FillType=None, Color=00000000
Cell B65: Value=22. Blood Feast of the Apes, Bold=False, FillType=None, Color=00000000
Cell C65: Value=22. Die Geel Draak, Bold=False, FillType=None, Color=00000000
Cell D65: Value=22. The Yellow Dragon, Bold=False, FillType=None, Color=00000000
Cell A66: Value=23. Wraak van die Gorillas, Bold=False, FillType=None, Color=00000000
Cell B66: Value=23. Revenge of the Gorillas, Bold=False, FillType=None, Color=00000000
Cell C66: Value=23. Slaaf van die Vyand, Bold=False, FillType=None, Color=00000000
Cell D66: Value=23. In Enemy Hands, Bold=False, FillType=None, Color=00000000
Cell A67: Value=24. Vallei van Gedrogte, Bold=False, FillType=None, Color=00000000
Cell B67: Value=24. Valley of the Monsters, Bold=False, FillType=None, Color=00000000
Cell C67: Value=24. Kapers op die Kim, Bold=False, FillType=None, Color=00000000
Cell D67: Value=24. Black Sails on the Horizon, Bold=False, FillType=None, Color=00000000
